Item,RowDesc,Past Due
277-1017-010,Plan Build Remaining,
277-1017-010,Plan Delivery Qty,
601-0600-008,Plan Build Remaining,0
601-0600-008,Plan Delivery Qty,2
766-0000-001,Plan Build Remaining,2
766-0000-001,Plan Delivery Qty,2
766-0000-001+TL,Plan Build Remaining,0
766-0000-001+TL,Plan Delivery Qty,2
766-0020-002,Plan Build Remaining,6
766-0020-002,Plan Delivery Qty,6
766-0080-001,Plan Build Remaining,4
766-0080-001,Plan Delivery Qty,4
766-0101-001,Plan Build Remaining,
766-0101-001,Plan Delivery Qty,
766-0101-001+TL,Plan Build Remaining,
766-0101-001+TL,Plan Delivery Qty,
822-0453-005,Plan Build Remaining,
822-0453-005,Plan Delivery Qty,
822-0453-015,Plan Build Remaining,
822-0453-015,Plan Delivery Qty,
822-1159-001,Plan Build Remaining,
822-1159-001,Plan Delivery Qty,
822-1159-002,Plan Build Remaining,
822-1159-002,Plan Delivery Qty,
822-1159-005,Plan Build Remaining,
822-1159-005,Plan Delivery Qty,
822-1159-006,Plan Build Remaining,
822-1159-006,Plan Delivery Qty,
822-1600-004,Plan Build Remaining,
822-1600-004,Plan Delivery Qty,
822-1600-137,Plan Build Remaining,-2
822-1600-137,Plan Delivery Qty,9
822-1600-137+TL,Plan Build Remaining,0
822-1600-137+TL,Plan Delivery Qty,
822-1600-138,Plan Build Remaining,1368
822-1600-138,Plan Delivery Qty,1062
822-1600-138+TL,Plan Build Remaining,296
822-1600-138+TL,Plan Delivery Qty,279
822-1648-065,Plan Build Remaining,
822-1648-065,Plan Delivery Qty,
822-1648-165,Plan Build Remaining,
822-1648-165,Plan Delivery Qty,
822-1873-002,Plan Build Remaining,
822-1873-002,Plan Delivery Qty,
822-1873-003,Plan Build Remaining,22
822-1873-003,Plan Delivery Qty,67
822-1873-003+TL,Plan Build Remaining,10
822-1873-003+TL,Plan Delivery Qty,61
822-2013-001,Plan Build Remaining,
822-2013-001,Plan Delivery Qty,
822-2062-001,Plan Build Remaining,
822-2062-001,Plan Delivery Qty,
822-2062-105,Plan Build Remaining,
822-2062-105,Plan Delivery Qty,
822-2093-002,Plan Build Remaining,
822-2093-002,Plan Delivery Qty,
822-2093-103,Plan Build Remaining,
822-2093-103,Plan Delivery Qty,
822-2093-104,Plan Build Remaining,945
822-2093-104,Plan Delivery Qty,841
822-2093-511,Plan Build Remaining,
822-2093-511,Plan Delivery Qty,
822-2093-511+TL,Plan Build Remaining,
822-2093-511+TL,Plan Delivery Qty,
822-2239-101,Plan Build Remaining,
822-2239-101,Plan Delivery Qty,
822-2347-204+TL,Plan Build Remaining,
822-2347-204+TL,Plan Delivery Qty,
822-2347-404,Plan Build Remaining,-14
822-2347-404,Plan Delivery Qty,6
822-2347-404+TL,Plan Build Remaining,0
822-2347-404+TL,Plan Delivery Qty,1
822-2347-424,Plan Build Remaining,0
822-2347-424,Plan Delivery Qty,178
822-2347-424+TL,Plan Build Remaining,-4
822-2347-424+TL,Plan Delivery Qty,3
822-2347-504,Plan Build Remaining,0
822-2347-504,Plan Delivery Qty,17
822-2347-504+TL,Plan Build Remaining,
822-2347-504+TL,Plan Delivery Qty,
822-2904-111,Plan Build Remaining,0
822-2904-111,Plan Delivery Qty,7
822-2904-111+TL,Plan Build Remaining,1
822-2904-111+TL,Plan Delivery Qty,24
822-2904-211,Plan Build Remaining,19
822-2904-211,Plan Delivery Qty,29
822-2904-211+TL,Plan Build Remaining,0
822-2904-211+TL,Plan Delivery Qty,2
822-3078-002,Plan Build Remaining,17
822-3078-002,Plan Delivery Qty,25
822-3078-002+TL,Plan Build Remaining,25
822-3078-002+TL,Plan Delivery Qty,
822-3198-003,Plan Build Remaining,0
822-3198-003,Plan Delivery Qty,6
822-3198-003+TL,Plan Build Remaining,130
822-3198-003+TL,Plan Delivery Qty,132
822-3198-013,Plan Build Remaining,366
822-3198-013,Plan Delivery Qty,366
822-3198-013+TL,Plan Build Remaining,
822-3198-013+TL,Plan Delivery Qty,
822-3255-001,Plan Build Remaining,522
822-3255-001,Plan Delivery Qty,283
822-3255-001+TL,Plan Build Remaining,192
822-3255-001+TL,Plan Delivery Qty,33
822-3267-601,Plan Build Remaining,0
822-3267-601,Plan Delivery Qty,10
822-3267-601+TL,Plan Build Remaining,0
822-3267-601+TL,Plan Delivery Qty,22
822-3267-602,Plan Build Remaining,1
822-3267-602,Plan Delivery Qty,12
822-3267-602+TL,Plan Build Remaining,0
822-3267-602+TL,Plan Delivery Qty,6
822-3396-002,Plan Build Remaining,-1
822-3396-002,Plan Delivery Qty,2
822-3396-002+TL,Plan Build Remaining,0
822-3396-002+TL,Plan Delivery Qty,19
822-3396-012,Plan Build Remaining,0
822-3396-012,Plan Delivery Qty,5
822-3396-012+TL,Plan Build Remaining,0
822-3396-012+TL,Plan Delivery Qty,1
822-3399-002,Plan Build Remaining,
822-3399-002,Plan Delivery Qty,
822-3505-001,Plan Build Remaining,1
822-3505-001,Plan Delivery Qty,1
822-3527-001,Plan Build Remaining,
822-3527-001,Plan Delivery Qty,
822-3527-002,Plan Build Remaining,0
822-3527-002,Plan Delivery Qty,2
822-3527-002+TL,Plan Build Remaining,2
822-3527-002+TL,Plan Delivery Qty,10
822-3527-012,Plan Build Remaining,10
822-3527-012,Plan Delivery Qty,10
822-3527-012+TL,Plan Build Remaining,0
822-3527-012+TL,Plan Delivery Qty,9
822-3590-001,Plan Build Remaining,
822-3590-001,Plan Delivery Qty,
822-3590-001+TL,Plan Build Remaining,
822-3590-001+TL,Plan Delivery Qty,
822-3592-001,Plan Build Remaining,0
822-3592-001,Plan Delivery Qty,0
822-3592-001+TL,Plan Build Remaining,
822-3592-001+TL,Plan Delivery Qty,
822-3592-002+TL,Plan Build Remaining,
822-3592-002+TL,Plan Delivery Qty,
822-3592-011,Plan Build Remaining,-10
822-3592-011,Plan Delivery Qty,3
822-3592-501,Plan Build Remaining,1
822-3592-501,Plan Delivery Qty,1
822-3607-001,Plan Build Remaining,
822-3607-001,Plan Delivery Qty,
822-3607-002,Plan Build Remaining,
822-3607-002,Plan Delivery Qty,
822-3607-002+TL,Plan Build Remaining,
822-3607-002+TL,Plan Delivery Qty,
822-3634-502,Plan Build Remaining,
822-3634-502,Plan Delivery Qty,
822-3696-401,Plan Build Remaining,
822-3696-401,Plan Delivery Qty,
822-3697-001,Plan Build Remaining,0
822-3697-001,Plan Delivery Qty,7
822-3697-001+TL,Plan Build Remaining,43
822-3697-001+TL,Plan Delivery Qty,82
835-1032-010,Plan Build Remaining,0
835-1032-010,Plan Delivery Qty,0
922-0003-001,Plan Build Remaining,
922-0003-001,Plan Delivery Qty,
922-0005-001,Plan Build Remaining,
922-0005-001,Plan Delivery Qty,
944-1543-001,Plan Build Remaining,
944-1543-001,Plan Delivery Qty,
944-2589-006,Plan Build Remaining,50
944-2589-006,Plan Delivery Qty,78
944-3765-008,Plan Build Remaining,288
944-3765-008,Plan Delivery Qty,34
944-3767-105,Plan Build Remaining,608
944-3767-105,Plan Delivery Qty,
944-3773-102,Plan Build Remaining,
944-3773-102,Plan Delivery Qty,
944-3986-002,Plan Build Remaining,
944-3986-002,Plan Delivery Qty,
966-0460-004,Plan Build Remaining,24
966-0460-004,Plan Delivery Qty,
966-1237-003,Plan Build Remaining,4
966-1237-003,Plan Delivery Qty,
966-1831-005,Plan Build Remaining,5593
966-1831-005,Plan Delivery Qty,6999
966-2052-405,Plan Build Remaining,420
966-2052-405,Plan Delivery Qty,26
966-2052-505,Plan Build Remaining,
966-2052-505,Plan Delivery Qty,
966-2083-244,Plan Build Remaining,507
966-2083-244,Plan Delivery Qty,529
966-2083-254,Plan Build Remaining,0
966-2083-254,Plan Delivery Qty,80
966-2083-264,Plan Build Remaining,153
966-2083-264,Plan Delivery Qty,197
966-2083-344,Plan Build Remaining,496
966-2083-344,Plan Delivery Qty,517
966-2083-354,Plan Build Remaining,40
966-2083-354,Plan Delivery Qty,40
966-2083-364,Plan Build Remaining,0
966-2083-364,Plan Delivery Qty,121
966-2083-524,Plan Build Remaining,93
