Item,RowDesc,Past Due
277-1017-010,Plan Build Remaining,
277-1017-010,Plan Delivery Qty,
601-0600-008,Plan Build Remaining,0
601-0600-008,Plan Delivery Qty,
766-0000-001,Plan Build Remaining,
766-0000-001,Plan Delivery Qty,
766-0000-001+TL,Plan Build Remaining,
766-0000-001+TL,Plan Delivery Qty,
766-0101-001,Plan Build Remaining,
766-0101-001,Plan Delivery Qty,
766-0101-001+TL,Plan Build Remaining,
766-0101-001+TL,Plan Delivery Qty,
822-0452-005,Plan Build Remaining,
822-0452-005,Plan Delivery Qty,
822-0453-005,Plan Build Remaining,
822-0453-005,Plan Delivery Qty,
822-0453-015,Plan Build Remaining,
822-0453-015,Plan Delivery Qty,
822-1159-001,Plan Build Remaining,
822-1159-001,Plan Delivery Qty,
822-1159-005,Plan Build Remaining,
822-1159-005,Plan Delivery Qty,
822-1159-006,Plan Build Remaining,
822-1159-006,Plan Delivery Qty,
822-1450-005,Plan Build Remaining,
822-1450-005,Plan Delivery Qty,
822-1600-004,Plan Build Remaining,
822-1600-004,Plan Delivery Qty,
822-1600-137,Plan Build Remaining,97
822-1600-137,Plan Delivery Qty,100
822-1600-137+TL,Plan Build Remaining,328
822-1600-137+TL,Plan Delivery Qty,
822-1600-138,Plan Build Remaining,
822-1600-138,Plan Delivery Qty,
822-1600-138+TL,Plan Build Remaining,0
822-1600-138+TL,Plan Delivery Qty,1
822-1648-061,Plan Build Remaining,
822-1648-061,Plan Delivery Qty,
822-1648-065,Plan Build Remaining,
822-1648-065,Plan Delivery Qty,
822-1648-165,Plan Build Remaining,
822-1648-165,Plan Delivery Qty,
822-1873-002,Plan Build Remaining,
822-1873-002,Plan Delivery Qty,
822-1873-003,Plan Build Remaining,0
822-1873-003,Plan Delivery Qty,1
822-1873-003+TL,Plan Build Remaining,7
822-1873-003+TL,Plan Delivery Qty,
822-2013-001,Plan Build Remaining,
822-2013-001,Plan Delivery Qty,
822-2062-001,Plan Build Remaining,
822-2062-001,Plan Delivery Qty,
822-2062-105,Plan Build Remaining,
822-2062-105,Plan Delivery Qty,
822-2093-002,Plan Build Remaining,-1
822-2093-002,Plan Delivery Qty,1
822-2093-103,Plan Build Remaining,
822-2093-103,Plan Delivery Qty,
822-2093-104,Plan Build Remaining,0
822-2093-104,Plan Delivery Qty,805
822-2093-104+TL,Plan Build Remaining,16
822-2093-104+TL,Plan Delivery Qty,16
822-2093-511,Plan Build Remaining,
822-2093-511,Plan Delivery Qty,
822-2093-511+TL,Plan Build Remaining,
822-2093-511+TL,Plan Delivery Qty,
822-2347-204+TL,Plan Build Remaining,
822-2347-204+TL,Plan Delivery Qty,
822-2347-404,Plan Build Remaining,-102
822-2347-404,Plan Delivery Qty,45
822-2347-404+TL,Plan Build Remaining,0
822-2347-404+TL,Plan Delivery Qty,4
822-2347-424,Plan Build Remaining,0
822-2347-424,Plan Delivery Qty,24
822-2347-424+TL,Plan Build Remaining,70
822-2347-424+TL,Plan Delivery Qty,84
822-2347-504,Plan Build Remaining,
822-2347-504,Plan Delivery Qty,
822-2904-111,Plan Build Remaining,0
822-2904-111,Plan Delivery Qty,42
822-2904-111+TL,Plan Build Remaining,39
822-2904-111+TL,Plan Delivery Qty,76
822-2904-211,Plan Build Remaining,
822-2904-211,Plan Delivery Qty,
822-2904-211+TL,Plan Build Remaining,27
822-2904-211+TL,Plan Delivery Qty,30
822-3026-001,Plan Build Remaining,
822-3026-001,Plan Delivery Qty,
822-3078-002,Plan Build Remaining,19
822-3078-002,Plan Delivery Qty,23
822-3078-002+TL,Plan Build Remaining,1
822-3078-002+TL,Plan Delivery Qty,1
822-3136-002,Plan Build Remaining,
822-3136-002,Plan Delivery Qty,
822-3198-003,Plan Build Remaining,665
822-3198-003,Plan Delivery Qty,604
822-3198-003+TL,Plan Build Remaining,66
822-3198-003+TL,Plan Delivery Qty,53
822-3198-013,Plan Build Remaining,
822-3198-013,Plan Delivery Qty,
822-3198-013+TL,Plan Build Remaining,
822-3198-013+TL,Plan Delivery Qty,
822-3255-001,Plan Build Remaining,164
822-3255-001,Plan Delivery Qty,244
822-3255-001+TL,Plan Build Remaining,328
822-3255-001+TL,Plan Delivery Qty,269
822-3262-002,Plan Build Remaining,
822-3262-002,Plan Delivery Qty,
822-3262-002+TL,Plan Build Remaining,1
822-3262-002+TL,Plan Delivery Qty,1
822-3267-601,Plan Build Remaining,
822-3267-601,Plan Delivery Qty,
822-3267-601+TL,Plan Build Remaining,23
822-3267-601+TL,Plan Delivery Qty,17
822-3267-602,Plan Build Remaining,
822-3267-602,Plan Delivery Qty,
822-3267-602+TL,Plan Build Remaining,28
822-3267-602+TL,Plan Delivery Qty,4
822-3396-002,Plan Build Remaining,0
822-3396-002,Plan Delivery Qty,12
822-3396-002+TL,Plan Build Remaining,0
822-3396-002+TL,Plan Delivery Qty,
822-3396-012,Plan Build Remaining,0
822-3396-012,Plan Delivery Qty,5
822-3396-012+TL,Plan Build Remaining,0
822-3396-012+TL,Plan Delivery Qty,
822-3399-002,Plan Build Remaining,
822-3399-002,Plan Delivery Qty,
822-3505-001,Plan Build Remaining,3
822-3505-001,Plan Delivery Qty,3
822-3527-001,Plan Build Remaining,
822-3527-001,Plan Delivery Qty,
822-3527-002,Plan Build Remaining,13
822-3527-002,Plan Delivery Qty,16
822-3527-002+TL,Plan Build Remaining,9
822-3527-002+TL,Plan Delivery Qty,
822-3527-012,Plan Build Remaining,1
822-3527-012,Plan Delivery Qty,
822-3527-012+TL,Plan Build Remaining,0
822-3527-012+TL,Plan Delivery Qty,1
822-3589-001,Plan Build Remaining,
822-3589-001,Plan Delivery Qty,
822-3589-001+TL,Plan Build Remaining,
822-3589-001+TL,Plan Delivery Qty,
822-3590-001,Plan Build Remaining,0
822-3590-001,Plan Delivery Qty,3
822-3590-001+TL,Plan Build Remaining,0
822-3590-001+TL,Plan Delivery Qty,5
822-3592-001,Plan Build Remaining,-2
822-3592-001,Plan Delivery Qty,3
822-3592-001+TL,Plan Build Remaining,8
822-3592-001+TL,Plan Delivery Qty,
822-3592-002,Plan Build Remaining,0
822-3592-002,Plan Delivery Qty,1
822-3592-002+TL,Plan Build Remaining,
822-3592-002+TL,Plan Delivery Qty,
822-3592-011,Plan Build Remaining,
822-3592-011,Plan Delivery Qty,
822-3607-001,Plan Build Remaining,
822-3607-001,Plan Delivery Qty,
822-3634-502,Plan Build Remaining,
822-3634-502,Plan Delivery Qty,
822-3634-502+TL,Plan Build Remaining,12
822-3634-502+TL,Plan Delivery Qty,12
822-3639-001,Plan Build Remaining,8
822-3639-001,Plan Delivery Qty,8
822-3697-001,Plan Build Remaining,57
822-3697-001,Plan Delivery Qty,161
822-3697-001+TL,Plan Build Remaining,126
822-3697-001+TL,Plan Delivery Qty,149
822-3698-001,Plan Build Remaining,
822-3698-001,Plan Delivery Qty,
835-1032-010,Plan Build Remaining,
835-1032-010,Plan Delivery Qty,
922-0003-001,Plan Build Remaining,
922-0003-001,Plan Delivery Qty,
944-1543-001,Plan Build Remaining,
944-1543-001,Plan Delivery Qty,
944-2589-006,Plan Build Remaining,12
944-2589-006,Plan Delivery Qty,
944-3765-008,Plan Build Remaining,336
944-3765-008,Plan Delivery Qty,17
944-3767-105,Plan Build Remaining,241
944-3767-105,Plan Delivery Qty,
944-3773-102,Plan Build Remaining,
944-3773-102,Plan Delivery Qty,
944-3986-002,Plan Build Remaining,
944-3986-002,Plan Delivery Qty,
966-0460-004,Plan Build Remaining,84
966-0460-004,Plan Delivery Qty,
966-1237-003,Plan Build Remaining,
966-1237-003,Plan Delivery Qty,
966-1237-011,Plan Build Remaining,
966-1237-011,Plan Delivery Qty,
966-1831-005,Plan Build Remaining,2494
966-1831-005,Plan Delivery Qty,3375
966-2052-405,Plan Build Remaining,584
966-2052-405,Plan Delivery Qty,168
966-2083-244,Plan Build Remaining,231
966-2083-244,Plan Delivery Qty,223
966-2083-254,Plan Build Remaining,120
966-2083-254,Plan Delivery Qty,361
966-2083-264,Plan Build Remaining,187
966-2083-264,Plan Delivery Qty,242
